what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383383348048
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383383391245
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1383383391271
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383383397424
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383383423963
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383383428026
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383383435319
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1383383436236
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1383383438705
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383383447220
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383383453043
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383383458502
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1383383471183
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383383491434
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1383383492665
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383383495384
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1383383530920
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1383383538419
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1383383543674
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1383383545140
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383383553191
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383383556421
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383383558496
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383383559798
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383383640625
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1383383744560
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1383383746062
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383383751147
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383383758517
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383383760987
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383383820830
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1383383823025
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383383870052
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383383873189
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383383875798
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383383937444
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383383962589
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383384035453
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383384048113
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383384060272
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383384068252
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1383384128423
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1383384167613
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383384169914
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1383384184283
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1383384184729
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1383384192313
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1383384212992
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1383384216759
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383384224064
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1383384224084
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383384227580
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1383384236723
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1383384249691
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383384253725
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383384257744
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383384260674
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383384283270
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383384285525
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383384300889
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383384419619
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383384446922
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383384474460
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1383384528188
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1383384529959
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383384534626
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383384538246
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383384539136
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383384545542
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383384572148
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1383384577803
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383384616891
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1383384645953
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383384648856
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383384652280
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383384654681
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383384678002
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383384737530
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383384749313
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383384827340
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1383384856815
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1383384885020
