what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381839042051
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381839044055
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381839348249
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381839573125
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381839574749
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381839657324
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381839719144
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381839742054
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381839781205
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381839781483
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381839800591
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381839848481
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1381839864754
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1381839874443
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381839927787
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381839928048
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381839947372
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381839978894
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1381839981221
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1381840012552
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1381840143809
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1381840146222
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1381840148585
