what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.0.v20100602,"org.eclipse.jst.jsf.facelet.ui",1380281174166
started,bundle,org.eclipse.jst.jsf.ui,1.3.1.v20100906,"org.eclipse.jst.jsf.ui",1380281174220
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.302.v201009091745,"org.eclipse.wst.jsdt.web.ui",1380281174255
started,bundle,org.eclipse.wst.css.ui,1.0.501.v201008232042,"org.eclipse.wst.css.ui",1380281174355
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1380281174419
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.302.v201009091745,"org.eclipse.wst.jsdt.web.core",1380281174458
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1380281200891
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380281200907
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.301.v201007080222,"org.eclipse.wst.jsdt.web.support.jsp",1380281201886
opened,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1380281202276
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1380281202920
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380281214616
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380281245952
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1380281247903
started,bundle,org.eclipse.jst.ejb.ui,1.1.501.v201007070821,"org.eclipse.jst.ejb.ui",1380281262547
started,bundle,org.eclipse.wst.common.environment,1.0.400.v200912181832,"org.eclipse.wst.common.environment",1380281262557
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380281262902
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380281282388
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380281288427
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.export",1380281334939
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.export",1380281334939
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380281334949
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380281361759
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.export",1380281377631
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.export",1380281377631
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380281377646
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380281381242
started,bundle,org.eclipse.wst.command.env.ui,1.1.3.v201004211805,"org.eclipse.wst.command.env.ui",1380281397341
started,bundle,org.eclipse.jst.ws.creation.ui,1.0.508.v201006011553,"org.eclipse.jst.ws.creation.ui",1380281397371
started,bundle,org.eclipse.jst.ws.consumption.ui,1.1.300.v201008252303,"org.eclipse.jst.ws.consumption.ui",1380281397414
started,bundle,org.eclipse.jst.ws.ui,1.0.403.v201004211805,"org.eclipse.jst.ws.ui",1380281397438
started,bundle,org.eclipse.jst.ws.uddiregistry,1.0.500.v201004211805,"org.eclipse.jst.ws.uddiregistry",1380281397438
started,bundle,org.eclipse.wst.ws.explorer,1.0.507.v201004220342,"org.eclipse.wst.ws.explorer",1380281397504
started,bundle,org.eclipse.equinox.http.jetty,2.0.0.v20100503,"org.eclipse.equinox.http.jetty",1380281411022
started,bundle,org.eclipse.equinox.http.servlet,1.1.0.v20100503,"org.eclipse.equinox.http.servlet",1380281411120
started,bundle,org.eclipse.equinox.http.registry,1.1.0.v20100503,"org.eclipse.equinox.http.registry",1380281411278
started,bundle,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser",1380281411367
started,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.200.v20100503,"org.eclipse.equinox.jsp.jasper.registry",1380281413138
started,bundle,org.eclipse.equinox.jsp.jasper,1.0.200.v20100421,"org.eclipse.equinox.jsp.jasper",1380281413245
started,bundle,org.eclipse.xsd,2.6.0.v20100914-1218,"org.eclipse.xsd",1380281414578
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.export",1380281414638
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.export",1380281414638
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380281414656
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1380281414692
started,bundle,org.eclipse.wst.ws.parser,1.0.403.v201004211805,"org.eclipse.wst.ws.parser",1380281414696
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.1.v201008170101,"org.eclipse.wst.jsdt.debug.ui",1380281418257
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380281419038
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380281423269
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380281423288
started,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1380281423551
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1380281423609
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.202.v20100818b,"org.eclipse.jst.server.tomcat.core",1380281423668
started,bundle,org.eclipse.wst.server.http.core,1.0.200.v20090429,"org.eclipse.wst.server.http.core",1380281423682
started,bundle,org.eclipse.wst.server.preview.adapter,1.1.0.v20090311b,"org.eclipse.wst.server.preview.adapter",1380281423707
opened,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1380281562372
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380281562938
started,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1380281563541
started,bundle,org.eclipse.core.externaltools,1.0.1.v20100831_r361,"org.eclipse.core.externaltools",1380281563570
started,bundle,org.eclipse.ant.core,3.2.200.v20100427,"org.eclipse.ant.core",1380281563654
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1380281565665
error,log,,,"Error starting server JBoss v5.0 at localhost",1380281580659
error,log,,,"Server port In Use 8080-Http",1380281580711
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380281580983
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380281594739
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1380281597644
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1380281622945
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1380281623845
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380281640828
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380281652473
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1380281679380
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1380281752923
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1380281756363
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380281758911
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380281785908
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1380281810891
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1380281901434
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380281904936
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380281912843
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1380281929226
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380281931704
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380281931818
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380281931959
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380281946591
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1380281961819
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380281964946
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380281972564
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1380281992202
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380281994645
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380282007004
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1380282035592
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1380282041815
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1380282047326
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1380282049995
