what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1381749824738
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1381749825376
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381749847020
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381749860547
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381749912334
started,bundle,org.eclipse.jpt.ui,2.3.2.v201008252310,"org.eclipse.jpt.ui",1381749922380
started,bundle,org.eclipse.wst.common.environment,1.0.400.v200912181832,"org.eclipse.wst.common.environment",1381749922389
started,bundle,org.eclipse.jpt.core,2.3.2.v201008252310,"org.eclipse.jpt.core",1381749922549
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1381749998545
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381749998556
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381750013623
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1381750033130
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381750034547
started,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1381750034698
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1381750036013
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1381750036050
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1381750036253
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1381750036530
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381750051806
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381750161042
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1381750163208
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1381750164528
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1381750164657
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1381750165700
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1381750277205
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381750284091
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381750287979
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381750290394
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381750348001
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381750352002
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381750456704
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381750459982
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381753632809
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381753636450
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381753641634
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381753645778
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381753671227
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381753675226
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381753677077
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1381753684090
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1381753684117
started,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1381753684138
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381753699861
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381753700053
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1381753776920
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1381753777853
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1381753778039
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381753804052
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.add.unimplemented.constructors",1381753807783
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381753807797
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381753820133
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1381753831295
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381753831309
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1381753839951
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381753856041
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381753896213
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1381753911239
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381753925826
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381753973551
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1381753974845
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1381753996101
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1381753997298
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1381754009753
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381754015148
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1381754036201
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381754036215
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1381754037381
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381754067698
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381754081136
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381754136848
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381754611546
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1381754618027
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381754753957
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381754833979
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381754840226
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381754903736
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1381754906127
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1381754918686
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381754926287
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381754926506
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381754940932
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381754941118
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1381754951782
