what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.wsdl.validation,1.1.501.v201004201506,"org.eclipse.wst.wsdl.validation",1380348102418
started,bundle,org.eclipse.wst.xsd.core,1.1.502.v201008201521,"org.eclipse.wst.xsd.core",1380348102418
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1380348102419
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1380348102420
started,bundle,org.eclipse.wst.css.core,1.1.401.v201008161749,"org.eclipse.wst.css.core",1380348102675
started,bundle,org.eclipse.pde.core,3.6.1.v20100902_r361,"org.eclipse.pde.core",1380348102868
started,bundle,org.eclipse.xsd,2.6.0.v20100914-1218,"org.eclipse.xsd",1380348106251
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380348107141
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1380348107946
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1380348108431
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380348883661
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1380348887226
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1380348890031
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1380348890147
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1380348890546
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1380348890549
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1380348896433
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1380348896433
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380348925927
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1380349005906
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380349005917
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1380349009196
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1380349009212
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1380349021647
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380349026251
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380349092815
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380349111312
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1380349121911
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1380349121912
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380349121921
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1380349132691
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380349140661
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380349156855
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380349162296
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1380349176813
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380349177484
started,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1380349177561
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1380349177655
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1380349178357
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1380349178462
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1380349178473
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380349180681
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380349186431
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1380349188388
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1380349189815
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1380349190347
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1380349190381
started,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1380349190411
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1380349224473
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1380349226956
started,bundle,org.eclipse.wst.ws.service.policy,1.0.203.v201004211732,"org.eclipse.wst.ws.service.policy",1380349226972
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1380349227041
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1380349227065
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380349234819
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1380349237911
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1380349237911
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380349237929
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1380349262359
